contest_type	contest_district_type	Selection	Contest	ReportingUnit	CountItemType	Count
BallotMeasure	state	Yes	Assembly Age	Colorado;Routt County	total	5397
BallotMeasure	state	Yes	Assembly Age	Colorado;Saguache County	total	1066
BallotMeasure	state	Yes	Assembly Age	Colorado;San Juan County	total	189
BallotMeasure	state	Yes	Assembly Age	Colorado;San Miguel County	total	2094
BallotMeasure	state	Yes	Assembly Age	Colorado;Sedgwick County	total	293
BallotMeasure	state	Yes	Assembly Age	Colorado;Summit County	total	6146
BallotMeasure	state	Yes	Assembly Age	Colorado;Teller County	total	3182
BallotMeasure	state	Yes	Assembly Age	Colorado;Washington County	total	373
BallotMeasure	state	Yes	Assembly Age	Colorado;Weld County	total	34761
BallotMeasure	state	Yes	Assembly Age	Colorado;Yuma County	total	704
BallotMeasure	state	No	Ballot Format for Judicial Races	Colorado;Adams County	total	79304
BallotMeasure	state	No	Ballot Format for Judicial Races	Colorado;Alamosa County	total	3268
BallotMeasure	state	No	Ballot Format for Judicial Races	Colorado;Arapahoe County	total	113657
BallotMeasure	state	No	Ballot Format for Judicial Races	Colorado;Archuleta County	total	3182
BallotMeasure	state	No	Ballot Format for Judicial Races	Colorado;Baca County	total	1178
BallotMeasure	state	No	Ballot Format for Judicial Races	Colorado;Bent County	total	1165
BallotMeasure	state	No	Ballot Format for Judicial Races	Colorado;Boulder County	total	52577
BallotMeasure	state	No	Ballot Format for Judicial Races	Colorado;Broomfield County	total	14544
BallotMeasure	state	No	Ballot Format for Judicial Races	Colorado;Chaffee County	total	4896
BallotMeasure	state	No	Ballot Format for Judicial Races	Colorado;Cheyenne County	total	634
BallotMeasure	state	No	Ballot Format for Judicial Races	Colorado;Clear Creek County	total	2417
BallotMeasure	state	No	Ballot Format for Judicial Races	Colorado;Conejos County	total	2066
BallotMeasure	state	No	Ballot Format for Judicial Races	Colorado;Costilla County	total	848
BallotMeasure	state	No	Ballot Format for Judicial Races	Colorado;Crowley County	total	849
BallotMeasure	state	No	Ballot Format for Judicial Races	Colorado;Custer County	total	1612
BallotMeasure	state	No	Ballot Format for Judicial Races	Colorado;Delta County	total	8150
BallotMeasure	state	No	Ballot Format for Judicial Races	Colorado;Denver County	total	102518
BallotMeasure	state	No	Ballot Format for Judicial Races	Colorado;Dolores County	total	728
BallotMeasure	state	No	Ballot Format for Judicial Races	Colorado;Douglas County	total	73860
BallotMeasure	state	No	Ballot Format for Judicial Races	Colorado;Eagle County	total	8478
BallotMeasure	state	No	Ballot Format for Judicial Races	Colorado;El Paso County	total	124530
BallotMeasure	state	No	Ballot Format for Judicial Races	Colorado;Elbert County	total	7520
BallotMeasure	state	No	Ballot Format for Judicial Races	Colorado;Fremont County	total	10356
BallotMeasure	state	No	Ballot Format for Judicial Races	Colorado;Garfield County	total	11149
BallotMeasure	state	No	Ballot Format for Judicial Races	Colorado;Gilpin County	total	1447
BallotMeasure	state	No	Ballot Format for Judicial Races	Colorado;Grand County	total	3571
BallotMeasure	state	No	Ballot Format for Judicial Races	Colorado;Gunnison County	total	3603
BallotMeasure	state	No	Ballot Format for Judicial Races	Colorado;Hinsdale County	total	270
BallotMeasure	state	No	Ballot Format for Judicial Races	Colorado;Huerfano County	total	1746
BallotMeasure	state	No	Ballot Format for Judicial Races	Colorado;Jackson County	total	466
BallotMeasure	state	No	Ballot Format for Judicial Races	Colorado;Jefferson County	total	136146
BallotMeasure	state	No	Ballot Format for Judicial Races	Colorado;Kiowa County	total	435
BallotMeasure	state	No	Ballot Format for Judicial Races	Colorado;Kit Carson County	total	1591
BallotMeasure	state	No	Ballot Format for Judicial Races	Colorado;La Plata County	total	11326
BallotMeasure	state	No	Ballot Format for Judicial Races	Colorado;Lake County	total	1330
BallotMeasure	state	No	Ballot Format for Judicial Races	Colorado;Larimer County	total	76962
BallotMeasure	state	No	Ballot Format for Judicial Races	Colorado;Las Animas County	total	3464
BallotMeasure	state	No	Ballot Format for Judicial Races	Colorado;Lincoln County	total	1174
BallotMeasure	state	No	Ballot Format for Judicial Races	Colorado;Logan County	total	4960
BallotMeasure	state	No	Ballot Format for Judicial Races	Colorado;Mesa County	total	35905
BallotMeasure	state	No	Ballot Format for Judicial Races	Colorado;Mineral County	total	276
BallotMeasure	state	No	Ballot Format for Judicial Races	Colorado;Moffat County	total	3414
BallotMeasure	state	No	Ballot Format for Judicial Races	Colorado;Montezuma County	total	6218
BallotMeasure	state	No	Ballot Format for Judicial Races	Colorado;Montrose County	total	9910
BallotMeasure	state	No	Ballot Format for Judicial Races	Colorado;Morgan County	total	5991
BallotMeasure	state	No	Ballot Format for Judicial Races	Colorado;Otero County	total	4297
BallotMeasure	state	No	Ballot Format for Judicial Races	Colorado;Ouray County	total	1251
BallotMeasure	state	No	Ballot Format for Judicial Races	Colorado;Park County	total	4683
BallotMeasure	state	No	Ballot Format for Judicial Races	Colorado;Phillips County	total	1168
BallotMeasure	state	No	Ballot Format for Judicial Races	Colorado;Pitkin County	total	3241
BallotMeasure	state	No	Ballot Format for Judicial Races	Colorado;Prowers County	total	2570
BallotMeasure	state	No	Ballot Format for Judicial Races	Colorado;Pueblo County	total	35279
BallotMeasure	state	No	Ballot Format for Judicial Races	Colorado;Rio Blanco County	total	1751
BallotMeasure	state	No	Ballot Format for Judicial Races	Colorado;Rio Grande County	total	2609
