contest_type	Contest	contest_district_type	Selection	ReportingUnit	CountItemType	Count
BallotMeasure	Assembly Age	state	Yes	Colorado;San Miguel County	total	2094
BallotMeasure	Assembly Age	state	Yes	Colorado;Sedgwick County	total	293
BallotMeasure	Assembly Age	state	Yes	Colorado;Summit County	total	6146
BallotMeasure	Assembly Age	state	Yes	Colorado;Teller County	total	3182
BallotMeasure	Assembly Age	state	Yes	Colorado;Washington County	total	373
BallotMeasure	Assembly Age	state	Yes	Colorado;Weld County	total	34761
BallotMeasure	Assembly Age	state	Yes	Colorado;Yuma County	total	704
BallotMeasure	Ballot Format for Judicial Races	state	No	Colorado;Adams County	total	79304
BallotMeasure	Ballot Format for Judicial Races	state	No	Colorado;Alamosa County	total	3268
BallotMeasure	Ballot Format for Judicial Races	state	No	Colorado;Arapahoe County	total	113657
BallotMeasure	Ballot Format for Judicial Races	state	No	Colorado;Archuleta County	total	3182
BallotMeasure	Ballot Format for Judicial Races	state	No	Colorado;Baca County	total	1178
BallotMeasure	Ballot Format for Judicial Races	state	No	Colorado;Bent County	total	1165
BallotMeasure	Ballot Format for Judicial Races	state	No	Colorado;Boulder County	total	52577
BallotMeasure	Ballot Format for Judicial Races	state	No	Colorado;Broomfield County	total	14544
BallotMeasure	Ballot Format for Judicial Races	state	No	Colorado;Chaffee County	total	4896
BallotMeasure	Ballot Format for Judicial Races	state	No	Colorado;Cheyenne County	total	634
BallotMeasure	Ballot Format for Judicial Races	state	No	Colorado;Clear Creek County	total	2417
BallotMeasure	Ballot Format for Judicial Races	state	No	Colorado;Conejos County	total	2066
BallotMeasure	Ballot Format for Judicial Races	state	No	Colorado;Costilla County	total	848
BallotMeasure	Ballot Format for Judicial Races	state	No	Colorado;Crowley County	total	849
BallotMeasure	Ballot Format for Judicial Races	state	No	Colorado;Custer County	total	1612
BallotMeasure	Ballot Format for Judicial Races	state	No	Colorado;Delta County	total	8150
BallotMeasure	Ballot Format for Judicial Races	state	No	Colorado;Denver County	total	102518
BallotMeasure	Ballot Format for Judicial Races	state	No	Colorado;Dolores County	total	728
BallotMeasure	Ballot Format for Judicial Races	state	No	Colorado;Douglas County	total	73860
BallotMeasure	Ballot Format for Judicial Races	state	No	Colorado;Eagle County	total	8478
BallotMeasure	Ballot Format for Judicial Races	state	No	Colorado;El Paso County	total	124530
BallotMeasure	Ballot Format for Judicial Races	state	No	Colorado;Elbert County	total	7520
